,1
Order,ANURA
N_realm,1.0
SemiAqua,0.0
Generalist,1.0
Other,0.0
2004 RL num,1
higher risk,0
urbanareas_2021,0.002260830080204
cropland_2021,0.0419333364767185
rangeland_2021,0.0726453272033034
managed_pasture_2021,0.0617352236445511
cropland_2021_change,0.0031141279931379
rangeland_2021_change,-0.0059729148058896
managed_pasture_2021_change,0.0060693209353141
area_2021,1469794.2784116964
travel_time_2015,802.7409228126235
population_density_2021,122473.56841892024
population_density_change_2021,49069.74375984211
MAT_nichefrac_2022,0.9931158517854056
MAT_change_2022,0.6181550025939941
AP_nichefrac_2022,0.9742061508696378
AP_change_2022,-0.0067912200465798
PDQ_nichefrac_2022,0.9684517651843914
